time,S,I,R
82.0,3.920753349618274e-12,0.27506981843546,999.7249301815604
82.5,3.7672786318215886e-12,0.2616583423735861,999.7383416576224
83.0,3.6265005962419705e-12,0.24890156191168156,999.7510984380845
83.5,3.4970361514068872e-12,0.23676677726026074,999.7632332227361
84.0,3.377816780549098e-12,0.22522286813969095,999.7747771318567
84.5,3.2680885416066743e-12,0.21424029378019566,999.7857597062163
85.0,3.1671872591577064e-12,0.2037909486759869,999.7962090513206
85.5,3.074058213395865e-12,0.1938490196146579,999.8061509803821
86.0,2.988026194131567e-12,0.18439108063383453,999.815608919363
86.5,2.9084826157285865e-12,0.1753945359362908,999.8246054640606
87.0,2.8348601995967042e-12,0.166837570382617,999.8331624296143
87.5,2.766632974191711e-12,0.15869914949122021,999.8413008505058
88.0,2.703316275015404e-12,0.15095901943832368,999.8490409805587
88.5,2.64446674461559e-12,0.1435977070579675,999.8564022929392
89.0,2.5896823325860823e-12,0.13659651984200805,999.8634034801552
89.5,2.5386022955667043e-12,0.1299375459401183,999.8700624540571
90.0,2.4909071972432852e-12,0.12360365415978745,999.8763963458375
90.5,2.4463189083476662e-12,0.11757849396632206,999.882421506031
91.0,2.404600606657691e-12,0.1118464954828439,999.8881535045145
91.5,2.3655567769972163e-12,0.10639286949029239,999.8936071305071
92.0,2.3290098759996174e-12,0.10120361643736381,999.8987963835601
92.5,2.294755032133841e-12,0.096266120919653,999.9037338790778
93.0,2.2626367341367764e-12,0.0915688552131691,999.9084311447843
93.5,2.2325101498256473e-12,0.08710068123137009,999.9128993187662
94.0,2.2042383597319683e-12,0.08285083445973815,999.9171491655378
94.5,2.1776923571015454e-12,0.07880892395577976,999.9211910760419
95.0,2.1527510478944755e-12,0.07496493234902564,999.9250350676485
95.5,2.1293012507851448e-12,0.07130921584103078,999.9286907841566
96.0,2.107237697162233e-12,0.06783250420537443,999.9321674957923
96.5,2.0864630311287073e-12,0.06452590078765989,999.9354740992101
97.0,2.06688780950183e-12,0.0613808825055152,999.9386191174922
97.5,2.0484305018131515e-12,0.058389299848592244,999.9416107001491
98.0,2.0310174903085114e-12,0.05554337687856695,999.9444566231192
98.5,2.0145830699480464e-12,0.052835711229140506,999.9471642887686
99.0,1.999069436174249e-12,0.05025927944319367,999.9497407205545
99.5,1.984423151756839e-12,0.04780810539675003,999.952191894601
100.0,1.9705907720115665e-12,0.04547647665462818,999.9545235233431
