t,S,E,I,R,D
7.064208559668513,877,42,38,43,0
7.069983824429735,877,41,39,43,0
7.133988809671489,876,42,39,43,0
7.1548658910275424,876,41,40,43,0
7.157583767886811,876,40,41,43,0
7.1627470413083865,875,41,41,43,0
7.180082205736889,875,40,42,43,0
7.2028724810897415,875,40,41,44,0
7.2459094243578885,875,39,42,44,0
7.24891846741117,875,38,43,44,0
7.289377206956459,875,37,44,44,0
7.324889114542229,875,36,45,44,0
7.349669688103979,874,37,45,44,0
7.357531133314607,874,37,44,45,0
7.358502409043163,873,38,44,45,0
7.358517476026005,872,39,44,45,0
7.365348808353938,872,39,43,46,0
7.376311459597335,872,39,42,47,0
7.389874583945142,871,40,42,47,0
7.41258691025986,870,41,42,47,0
7.435706040396319,870,41,41,48,0
7.43986423543989,869,42,41,48,0
7.445504423541976,868,43,41,48,0
7.512313531427892,868,43,40,49,0
7.516132331635216,867,44,40,49,0
7.516195282758491,866,45,40,49,0
7.533589659813099,866,45,39,50,0
7.537173217689523,866,44,40,50,0
7.537515219169077,866,44,39,51,0
7.558113448274514,865,45,39,51,0
7.570573104235186,865,44,40,51,0
7.5751386712675455,865,43,41,51,0
7.6272655031970915,864,44,41,51,0
7.654713228838584,864,43,42,51,0
7.695274199024281,864,42,43,51,0
7.717345810076639,864,42,42,52,0
7.718962438417765,864,42,41,53,0
7.748291415168843,864,41,42,53,0
7.752791495257765,863,42,42,53,0
7.766066515733407,863,41,43,53,0
7.7735464033771775,862,42,43,53,0
7.777720768595293,861,43,43,53,0
7.884967296389236,860,44,43,53,0
7.940142577734151,859,45,43,53,0
7.9829212894165025,859,44,44,53,0
7.984312623677295,858,45,44,53,0
7.991820298420072,857,46,44,53,0
7.998126206218115,857,46,43,54,0
8.06245859207226,856,47,43,54,0
8.088614208163117,855,48,43,54,0
8.092940818885056,854,49,43,54,0
8.095763020528786,853,50,43,54,0
8.1094095976434,853,50,42,55,0
8.11859423721285,853,49,43,55,0
8.118812544245355,853,49,42,56,0
8.133848448399792,853,48,43,56,0
8.138402666734224,853,48,42,57,0
8.149057161566688,853,47,43,57,0
8.164978500450726,853,47,42,58,0
8.175319059995159,853,47,41,59,0
8.184666807908542,853,47,40,60,0
8.217140686066879,853,46,41,60,0
8.21770623889973,852,47,41,60,0
8.251631516089162,852,47,40,61,0
8.255794800571282,851,48,40,61,0
8.298713968402382,850,49,40,61,0
